,CASE_NUMBER,HREF,YEAR,DATE,TIME,COUNTRY,AREA,LOCATION,SPECIES,PROVOCATION,ACTIVITY,SEX,AGE,FATAL_YN,BODY_AREA_ATTACKED,TYPE_OF_INJURY
3679,1961.04.16.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.16.b-Ericson.pdf,1961,16-Apr-61,NOT AVAILABLE,USA,Florida,"Fowey Rock Light, Miami","Tiger shark, 3 m [10']",Unprovoked,spearfishing,M,18-24,N,lower limbs,bite
3680,1961.04.16.a,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.16.a-Spooner.pdf,1961,16-Apr-61,NOT AVAILABLE,AUSTRALIA,New South Wales,Otford,"Wobbegong shark, O. barbatus,  1.8 m [6'], identified by G.P. Whitley",Provoked,spearfishing,M,18-24,N,lower limbs,bite
3681,1961.04.14,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.14-Davis.pdf,1961,14-Apr-61,night,AUSTRALIA,New South Wales,10 miles off Nambucca Heads  onboard trawler,"""gummy"" shark (Rhizoprionodon or Loxodon) 1.2 m [4']",Unprovoked,sea disaster,M,35-44,N,head or neck,NOT AVAILABLE
3682,1961.04.09,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.09-Zimila.pdf,1961,09-Apr-61,late morning,MOZAMBIQUE,Gaza,Xai Xai,Zambesi shark,Unprovoked,"swimming, using bundles of sticks as raft",M,35-44,Y,NOT AVAILABLE,NOT AVAILABLE
3683,1961.04.08,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.08-DaraDisaster.pdf,1961,08-Apr-61,NOT AVAILABLE,PERSIAN GULF,United Arab Emirates,Dubai,NOT AVAILABLE,Sea Disaster,cargo ship dara sank after collision with another ship during a severe storm,NOT AVAILABLE,NOT AVAILABLE,Y,NOT AVAILABLE,bite
3684,1961.04.03,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.03-Prosch.pdf,1961,03-Apr-61,NOT AVAILABLE,AUSTRALIA,Victoria,Flinders Island,"Grey nurse shark, 2,7 m [9'], 200-lb",Unprovoked,spearfishing,M,18-24,N,no injury,no injury
3685,1961.04.00,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.00-Greaves.pdf,1961,Apr-61,NOT AVAILABLE,AUSTRALIA,Western Australia,Rottnest Island,"Wobbegong shark, 1.4 m [4.6']",Provoked,spearfishing,M,NOT AVAILABLE,N,upper limbs,bite
3686,1961.03.30,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.30-Buttery.pdf,1961,30-Mar-61,NOT AVAILABLE,AUSTRALIA,South Australia,Glenelg Breakwater,"Bronze whaler shark, 2.4 m [8'] Identified by Clyde Buttery",Unprovoked,spearfishing,M,18-24,N,lower limbs,lacerations
3687,1961.03.18,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.18-Smith.pdf,1961,18-Mar-61,late afternoon,AUSTRALIA,Victoria,Lady Beach at Warrnambool,3 m [10'] shark,Unprovoked,swimming,M,18-24,N,upper limbs,bite
3688,1961.03.14,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.14-O'Neill.pdf,1961,14-Mar-61,NOT AVAILABLE,AUSTRALIA,Western Australia,Shark Bay,NOT AVAILABLE,Provoked,fishing from dinghy,F,NOT AVAILABLE,N,lower limbs,bite
3689,1961.03.12,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.12-Rodger.pdf,1961,12-Mar-61,afternoon,AUSTRALIA,South Australia,Aldinga Beach,"White shark, 3.7 m [12']",Unprovoked,spearfishing,M,18-24,N,lower limbs,bite
3690,1961.03.09,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.09-Stewart.pdf,1961,09-Mar-61,afternoon,NORTH PACIFIC OCEAN,Wake Island (EnenKio),"Leeward side of island, directly in back of Mid-Pac barrel storage area","Grey reef shark, 1.8 m [6'] grey reef shark, identified by Dr. L.P. L. Schultz based on photographs; identified as C. melanopterus by Stewart",Unprovoked,free diving,M,25-34,N,upper limbs,bite
3691,1961.03.07,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.07-Rickert.pdf,1961,07-Mar-61,NOT AVAILABLE,SOUTH AFRICA,KwaZulu-Natal,St. Lucia,"Zambesi shark, 4'9""",Provoked,fishing,M,35-44,N,lower limbs,bite
3692,1961.03.00,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.00-Bailey.pdf,1961,Mar-61,late morning,FIJI,"19S, 178?E","Wotua Beach, 70 miles from Suva",NOT AVAILABLE,Unprovoked,floating,M,NOT AVAILABLE,N,upper limbs,bite
3693,1961.02.17.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.17.b-Peterson.pdf,1961,17-Feb-61,NOT AVAILABLE,USA,Pennsylvania,"Fairmount Park Aquarium, Philadelphia",NOT AVAILABLE,Provoked,cleaning a tank,M,25-34,N,NOT AVAILABLE,lacerations
3694,1961.02.17.a,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.17.a-Fox.pdf,1961,17-Feb-61,evening,AUSTRALIA,Victoria,Mount Martha Beach,"2' ""banjo shark""",Unprovoked,standing,F,NOT AVAILABLE,N,lower limbs,bite
3695,1961.02.16,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.16-BritishSailor.pdf,1961,16-Feb-61,NOT AVAILABLE,JAMAICA,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,not available,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
3696,1961.02.12,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.12-Benzoin.pdf,1961,12-Feb-61,late afternoon,SOUTH AFRICA,Western Cape Province,Sea Point,1.5 m [5'] shark,Unprovoked,spearfishing,M,25-34,N,abdomen,NOT AVAILABLE
3697,1961.02.01.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.01.b-Zimmerman.pdf,1961,01-Feb-61,afternoon,SOUTH AFRICA,Eastern Cape Province,Nahoon,"2.1 m [7'], 90-kg shark",Unprovoked,swimming,M,12-17,Y,lower limbs,NOT AVAILABLE
3698,1961.02.01.a,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.01.a-McWhinney.pdf,1961,01-Feb-61,NOT AVAILABLE,AUSTRALIA,Western Australia,Carnac Island,"Grey nurse shark, 2.7 m [9']",Unprovoked,collecting crayfish,M,NOT AVAILABLE,N,no injury,no injury
3699,1961.02.00,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.00-Friedman.pdf,1961,Feb-61,NOT AVAILABLE,USA,California,"Topanga Canyon Beach, Santa Monica Bay",Shovel-nosed guitarfish,Invalid,not available,M,NOT AVAILABLE,N,NOT AVAILABLE,NOT AVAILABLE
3700,1961.01.25,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.25-Groenwald-boat.pdf,1961,25-Jan-61,NOT AVAILABLE,SOUTH AFRICA,Western Cape Province,Frikkies Bay,4.6 m [15'] shark,Boat,fishing,NOT AVAILABLE,NOT AVAILABLE,N,no injury,no injury
3701,1961.01.22,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.22-Murphy.pdf,1961,22-Jan-61,afternoon,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,White shark,Unprovoked,swimming,M,12-17,N,lower limbs,bite
3702,1961.01.15,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.15-Webb.pdf,1961,15-Jan-61,morning,AUSTRALIA,New South Wales,Cook Island,"Wobbegong shark, 1.5 m [5']",Provoked,collecting aquarium specimens,M,25-34,N,lower limbs,bite
3703,1961.01.06.c,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.06.c-Land.pdf,1961,06-Jan-61,evening,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,"White shark, based on bite pattern",Unprovoked,standing,M,12-17,N,lower limbs,bite
3704,1961.01.06.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.06.b-PacificSeafarer.pdf,1961,06-Jan-61,NOT AVAILABLE,ATLANTIC OCEAN,9.35N 79.35W,"East of La Grande Island, North of Panama Canal",NOT AVAILABLE,Sea Disaster,pacific seafarer of us navy,NOT AVAILABLE,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
3705,1961.01.06.a,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.06.a-Hopkins.pdf,1961,06-Jan-61,NOT AVAILABLE,AUSTRALIA,Northern Territory,"Stokes Hill Wharf, Darwin","Hammerhead shark, 1.8 m [6']",Provoked,fishing,M,NOT AVAILABLE,N,upper limbs,bite
3706,1961.01.05,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.05-AfricanChild.pdf,1961,05-Jan-61,afternoon,MOZAMBIQUE,Limpopo River,190 km to 240 km from the sea,Six Zambesi sharks seen to 1.5 m [5'] in length,Unprovoked,swimming,M,NOT AVAILABLE,N,lower limbs,bite
3707,1961.01.03.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.03.b-Hendricks.pdf,1961,03-Jan-61,afternoon,SOUTH AFRICA,Western Cape Province,Strandfontein,NOT AVAILABLE,Unprovoked,standing,M,25-34,N,lower limbs,bite
3708,1961.01.03.a,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.03.a-Remains-in-raggie.pdf,1961,03-Jan-61,NOT AVAILABLE,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,"Raggedtooth shark, 147-kg [324-lb]",Invalid,not available,NOT AVAILABLE,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
3709,1961.01.02.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.02.R-SoutherlyBuster.pdf,1961,Reported 02-Jan-1961,NOT AVAILABLE,AUSTRALIA,Tasmania,Off Tasman Island,NOT AVAILABLE,Boat,ocean racing,NOT AVAILABLE,NOT AVAILABLE,N,no injury,no injury
3710,1961.00.00.e,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.00.00.e-Mackerel-fishing.pdf,1961,1961,NOT AVAILABLE,AUSTRALIA,New South Wales,South coast,NOT AVAILABLE,Boat,fishing,NOT AVAILABLE,NOT AVAILABLE,N,no injury,bite
3711,1961.01.01,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.01-Chaney.pdf,1961,01-Jan-61,NOT AVAILABLE,COLUMBIA,Roncador Bank,"Roncador Bank, 135 nm north of San Andres",1.8 m [6'] shark,Unprovoked,taking boat from california to florida when it ran aground & he was swimming back to boat,M,NOT AVAILABLE,N,lower limbs,bite
3712,1961.00.00.d,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.00.00.d-NV-NewCaledonia.pdf,1961,1961,NOT AVAILABLE,NEW CALEDONIA,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,spearfishing,NOT AVAILABLE,NOT AVAILABLE,N,upper limbs,NOT AVAILABLE
3713,1961.00.00.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.00.00.b-Senegal.pdf,1961,1961,NOT AVAILABLE,SENEGAL,Cap Vert Peninsula,Thiaroye Guedi,> 3 m shark,Unprovoked,diving for fish/pearls,M,18-24,Y,NOT AVAILABLE,NOT AVAILABLE
3714,1961.00.00.a,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.00.00.a-aircraft.pdf,1961,1961,NOT AVAILABLE,USA,Hawaii,Maui,NOT AVAILABLE,Sea Disaster,light aircraft ditched at sea,NOT AVAILABLE,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
3715,1960.12.27.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.12.27.b-Riley.pdf,1960,27-Dec-60,NOT AVAILABLE,USA,Hawaii,"Maile Point, O'ahu",NOT AVAILABLE,Unprovoked,swept out to sea while net fishing,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
3716,1960.12.27.a.,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.12.27.a -Despo Snow-Christensen.pdf,1960,27-Dec-60,NOT AVAILABLE,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",3 m [10'] shark,Unprovoked,not available,F,25-34,N,NOT AVAILABLE,NOT AVAILABLE
3717,1960.12.24,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.12.24-Sithole.pdf,1960,24-Dec-60,afternoon,SOUTH AFRICA,KwaZulu-Natal,Margate,"White shark, 3 m [10'], tooth fragment from wounds identified as that of a white shark",Unprovoked,swimming,M,25-34,Y,lower limbs,severed body part
3718,1960.12.20,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.12.20-McDougall.pdf,1960,20-Dec-60,morning,AUSTRALIA,Queensland,"College’s Crossing, 54 miles above mouth of the Brisbane River","Grey nurse shark, 1m",Unprovoked,"fishing, when line became snagged on rock & he dived into water to free it",M,25-34,N,lower limbs,lacerations
3719,1960.12.01,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.12.01-BrisbaneRiver.pdf,1960,01-Dec-60,NOT AVAILABLE,AUSTRALIA,Queensland,"Colledge's Crossing, Brisbane River","Bull shark, 1m",Unprovoked,fishing,M,NOT AVAILABLE,N,NOT AVAILABLE,bite
3720,1960.11.27,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.11.27-Bicknell.pdf,1960,27-Nov-60,afternoon,AUSTRALIA,Queensland,"Black’s Beach, 9 miles north of Mackay",3' shark,Unprovoked,swimming,M,35-44,N,upper limbs,lacerations
3721,1960.11.22,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.11.22-Sargent.pdf,1960,22-Nov-60,NOT AVAILABLE,USA,Florida,"Hutchinson Island Beach, Martin County",NOT AVAILABLE,Invalid,sea disaster,F,45-54,Y,NOT AVAILABLE,NOT AVAILABLE
3722,1960.11.11,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.11.11-O'Connell.pdf,1960,11-Nov-60,afternoon,AUSTRALIA,Queensland,"Scott’s Point, Redcliffe Peninsula",NOT AVAILABLE,Provoked,surfing,M,12-17,N,NOT AVAILABLE,NOT AVAILABLE
3723,1960.11.06,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.11.06-Morrissey.pdf,1960,06-Nov-60,NOT AVAILABLE,AUSTRALIA,Western Australia,Hamelin Bay,"Wobbegong shark, 1.8 m [6']",Unprovoked,spearfishing,M,18-24,N,upper limbs,NOT AVAILABLE
3724,1960.11.00.d,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.11.00.d-GordonsBay.pdf,1960,Nov-60,NOT AVAILABLE,SOUTH AFRICA,Western Cape Province,"5 km from Gordon’s Bay, False Bay",White shark (tooth fragments recovered from hull of boat),Boat,hand lining for shad,NOT AVAILABLE,NOT AVAILABLE,N,no injury,bite
3725,1960.11.00.c,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.11.00.c-ToroPassage.pdf,1960,Nov-60,NOT AVAILABLE,NEW GUINEA,Western District,Toro Passage,"1.4 m [4'6""] blacktip shark",Provoked,not available,M,NOT AVAILABLE,N,upper limbs,bite
3726,1960.11.00.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.11.00.b-Fisherman.pdf,1960,Nov-60,NOT AVAILABLE,PAPUA NEW GUINEA,Central Province,Abau Subdistrict,NOT AVAILABLE,Unprovoked,fishing,M,NOT AVAILABLE,Y,lower limbs,bite
3727,1960.10.25,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.10.25-Scheer.pdf,1960,25-Oct-60,afternoon,USA,California,"Off Point Mugu, Ventura County",NOT AVAILABLE,Sea Disaster,ejected from f3h 2 aircraft,M,35-44,N,lower limbs,no injury
3728,1960.10.24,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.10.24-JacobsBayfishermen.pdf,1960,24-Oct-60,NOT AVAILABLE,SOUTH AFRICA,Western Cape Province,"Jacobs Bay Reef, Saldanha Bay","White shark, 3.7 m to 4.6 m [12' to 15']",Boat,fishing,NOT AVAILABLE,NOT AVAILABLE,N,no injury,bite
3729,1960.10.02,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.10.02-NV-Hooper.pdf,1960,01-Oct-60,NOT AVAILABLE,AUSTRALIA,New South Wales,North Head,Shark involvement not confirmed,Invalid,fishing,M,18-24,N,NOT AVAILABLE,NOT AVAILABLE
3730,1960.10.00.e,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.10.00.e-Talasea.pdf,1960,Oct-60,NOT AVAILABLE,PAPUA NEW GUINEA,New Britain,"East Nakanai, Talasea",NOT AVAILABLE,Unprovoked,collecting shells,M,25-34,N,lower limbs,NOT AVAILABLE
3731,1960.10.00.d,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.10.00.d-El-Gamil.pdf,1960,Oct-60,NOT AVAILABLE,RED SEA / INDIAN OCEAN,Enroute from Suez to Aden (Yemen),NOT AVAILABLE,NOT AVAILABLE,Sea Disaster,cargo ship el gamil entroute suez to yemen (aden) when her cargo shifted and she sank. 19 egyption sailors jumped into the water and swam for several hours before being bitten by sharks,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
3732,1960.10.00.c,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.10.00.c-Wilson.pdf,1960,Oct-60,NOT AVAILABLE,USA,Florida,Haulover Inlet,NOT AVAILABLE,Invalid,diving,M,NOT AVAILABLE,Y,head or neck,NOT AVAILABLE
3733,1960.10.00.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.10.00.b-Gordon'sBayBoat.pdf,1960,Oct-60,NOT AVAILABLE,SOUTH AFRICA,Western Cape Province,False Bay,"White shark, 18 mm tooth fragment  recovered from the hull",Boat,fishing,NOT AVAILABLE,NOT AVAILABLE,N,NOT AVAILABLE,NOT AVAILABLE
3734,1960.10.00.a,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.10.00.a-McAllister.pdf,1960,Oct-60,late morning,JOHNSTON ISLAND,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Invalid,"free diving / photography, kneeling on sand",M,35-44,N,no injury,no injury
3735,1960.09.24,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.09.24-Gore.pdf,1960,24-Sep-60,NOT AVAILABLE,USA,South Carolina,"Atlantic Beach, Horry County","2.4 m [8'], 600-lb shark",Provoked,fishing inside net,M,NOT AVAILABLE,N,lower limbs,lacerations
3736,1960.09.22,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.09.22-R5Daircraft.pdf,1960,22-Sep-60,NOT AVAILABLE,PACIFIC OCEAN,180 miles southeast of Okinawa,NOT AVAILABLE,NOT AVAILABLE,Sea Disaster,r5d aircraft went down with 29 on board,M,NOT AVAILABLE,N,NOT AVAILABLE,NOT AVAILABLE
3737,1960.09.18,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.09.18-Dinghy.pdf,1960,18-Sep-60,NOT AVAILABLE,AUSTRALIA,Western Australia,Frenchman Bay,3.7 m [12'] shark,Boat,not available,NOT AVAILABLE,NOT AVAILABLE,N,no injury,no injury
3738,1960.09.02,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.09.02-E.S.Hobson.pdf,1960,02-Sep-60,late morning,MARSHALL ISLANDS,Eniwetok Atoll,Lagoon along Sand Island,"Grey reef shark, Identified as C. menisorrah, by E.S. Hobson, F. Mautin & E.S. Reese (1961)",Invalid,spearfishing,M,NOT AVAILABLE,N,no injury,no injury
3739,1960.09.01,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.09.01-Mautin.pdf,1960,01-Sep-60,late morning,MARSHALL ISLANDS,Eniwetok Atoll,Parry Island,"Grey reef shark, Identified by E.S. Hobson, F. Mautin & E.S. Reese (1961)",Invalid,spearfishing,M,NOT AVAILABLE,N,no injury,no injury
3740,1960.08.30,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.08.30-Chung.pdf,1960,30-Aug-60,afternoon,USA,New Jersey,"Ocean City, Cape May County",NOT AVAILABLE,Unprovoked,swimming 3 miles offshore,M,25-34,N,lower limbs,lacerations
3741,1960.08.29,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.08.29-Senegal.pdf,1960,29-Aug-60,NOT AVAILABLE,SENEGAL,Cap-Vert Peninsula,off Dakar,NOT AVAILABLE,Sea Disaster,air disaster: crash of air france super constellation,NOT AVAILABLE,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
3742,1960.08.25,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.08.25-NavalAviator.pdf,1960,25-Aug-60,NOT AVAILABLE,USA,Texas,30 miles east of Corpus Christi,3 hammerhead sharks nearby,Invalid,aircraft crashed into sea,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
3743,1960.08.24,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.08.24-Trudeau.pdf,1960,24-Aug-60,afternoon,USA,Connecticut,"Off Eames Monument, Bridgeport, Fairfield County",NOT AVAILABLE,Unprovoked,free diving,M,35-44,N,upper limbs,lacerations
3744,1960.08.22.R.,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.08.22.R-Milne-PNG.pdf,1960,Reported 22-Aug-1960,NOT AVAILABLE,PAPUA NEW GUINEA,Milne Bay Province,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,free diving,M,NOT AVAILABLE,N,upper limbs,NOT AVAILABLE
3745,1960.08.22,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.08.22.a-McDonald.pdf,1960,22-Aug-60,NOT AVAILABLE,USA,New Jersey,"Seaside Park, Ocean County",NOT AVAILABLE,Unprovoked,not available,M,12-17,N,lower limbs,NOT AVAILABLE
3746,1960.08.21,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.08.21-Brodeur.pdf,1960,21-Aug-60,afternoon,USA,New Jersey,"Sea Girt, Monmouth County",NOT AVAILABLE,Unprovoked,standing in knee deep water,M,18-24,N,lower limbs,bite
3747,1960.08.14,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.08.14-NV-Mozambique.pdf,1960,14-Aug-60,NOT AVAILABLE,MOZAMBIQUE,Delagoa Bay,Bella Vista,Shark involvement not confirmed,Invalid,sea disaster,NOT AVAILABLE,NOT AVAILABLE,N,NOT AVAILABLE,NOT AVAILABLE
3748,1960.08.10,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.08.10-Henn.pdf,1960,10-Aug-60,early night,USA,Florida,Key Largo Sound,"Lemon shark, 1164 mm, immature male, identified by  V.G. Springer",Provoked,holding shark on leader & dangling it above the water,M,12-17,N,upper limbs,bite
3749,1960.08.04.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.08.04.b-Capel.pdf,1960,04-Aug-60,NOT AVAILABLE,ENGLAND,In the English Channel,Off the south Devon coast,80-lb hooked shark,Provoked,helping angler land a shark,M,25-34,N,upper limbs,lacerations
3750,1960.08.04.a,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.08.04.a-Saylor.pdf,1960,04-Aug-60,NOT AVAILABLE,USA,Delaware,"Mispillion Light, Delaware Bay",2.4 m [8'] shark,Unprovoked,"fishing, struck by another shark when removing shark from line",M,45-54,N,upper limbs,lacerations
3751,1960.08.00,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.08.00-marine.pdf,1960,Aug-60,NOT AVAILABLE,USA,South Carolina,Parris Island,NOT AVAILABLE,Unprovoked,swimming from camp,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
3753,1960.07.05,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.07.05-Hanson.pdf,1960,05-Jul-60,NOT AVAILABLE,USA,Mississippi,Mississippi City,NOT AVAILABLE,Unprovoked,pulling raft out to ride to shore,M,12-17,N,lower limbs,bite
3754,1960.07.03,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.07.03-Smith.pdf,1960,03-Jul-60,late morning,USA,Virginia,Hog Island,"""sand shark""",Provoked,"fishing, tossing netted shark onboard",M,35-44,N,upper limbs,bite
3755,1960.07.02.a,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.07.02-Orderly.pdf,1960,02-Jul-60,NOT AVAILABLE,PAPUA NEW GUINEA,Madang,"Bimat, Bogia",NOT AVAILABLE,Unprovoked,fishing,M,NOT AVAILABLE,N,lower limbs,NOT AVAILABLE
3756,1960.06.29,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.06.29-Gray.pdf,1960,29-Jun-60,afternoon,USA,South Carolina,"Little River Beach, Horry County",7' shark,Provoked,surfing,M,NOT AVAILABLE,N,lower limbs,lacerations
3757,1960.06.27.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.06.27-b-Harpooned-shark.pdf,1960,27-Jun-60,NOT AVAILABLE,NEW ZEALAND,Cook Strait,Tory Channel,"White shark, 15'2""",Provoked,shark fishing,NOT AVAILABLE,NOT AVAILABLE,N,NOT AVAILABLE,bite
3758,1960.06.27.a,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.06.27.a-Schapper.pdf,1960,27-Jun-60,NOT AVAILABLE,NORTH SEA,"Unknown, treated at Wick, SCOTLAND","On board  East German fishing trawler, I Mai","""A small shark""",Provoked,fishing,M,18-24,N,upper limbs,bite
3759,1960.06.24,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.06.24-Fey.pdf,1960,24-Jun-60,late morning,USA,Florida,"2 miles east of Dania Beach, Broward County","Mako shark, 1.8 m to 2.1 m [6' to 7']  with hook & wire leader caught in mouth",Unprovoked,scuba diving,M,35-44,N,no injury,bite
3760,1960.06.07,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.06.07-Raytheon.pdf,1960,07-Jun-60,NOT AVAILABLE,USA,California,"10 miles off Santa Barbara, Santa Barbara County",NOT AVAILABLE,Invalid,"testing classified underwater electronic gear for raytheon corporation, vessel torn apart by explosion",M,35-44,N,lower limbs,bite
3761,1960.06.05,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.06.05-Mendoza.pdf,1960,05-Jun-60,morning,PHILIPPINES,Corregidor Island,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,surfing,M,55-64,Y,NOT AVAILABLE,NOT AVAILABLE
3762,1960.06.04,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.06.04-Jones.pdf,1960,04-Jun-60,afternoon,USA,Georgia,"North picnic area, Jekyll Island, Glynn County",NOT AVAILABLE,Unprovoked,swimming,M,18-24,N,lower limbs,bite
3763,1960.05.29,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.05.29-Dawkins.pdf,1960,29-May-60,morning,PANAMA,San Blas Islands,Off Diable Island,NOT AVAILABLE,Unprovoked,spearfishing,M,25-34,N,head or neck,lacerations
3764,1960.05.24,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.05.24-Goiran.pdf,1960,24-May-60,afternoon,BERMUDA,Paget,Elbow Beach /  Coral Beach,"Dusky shark, 2.7 m [9'] dusky shark C. obscurus identified by S. Springer on tooth recovered",Unprovoked,surfing,M,25-34,N,lower limbs,bite
3765,1960.05.19,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.05.19-Theriot_Collier.pdf,1960,19-May-60,afternoon,USA,California,"Aptos, Santa Cruz County","White shark, 4 m to 5 m [13' to 16.5']",Unprovoked,swimming,F,12-17,N,lower limbs,bite
3766,1960.05.16,http://sharkattackfile.net/spreadsheets/pdf_directory/1960.05.16-Starck-boat.pdf,1960,16-May-60,NOT AVAILABLE,USA,Florida,"Lignum Vitae Channel, Florida Keys, Monroe County","Lemon shark, 1.8 m [6'] male, N. breviostris, identified by W.A. Stark II, later the same day a 6'8"" pregnant female lemon shark bit the bow of the boat",Provoked,not available,NOT AVAILABLE,NOT AVAILABLE,N,no injury,bite
